JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
37042218|ood-r-4.4.1-gfbf-2023b|CANCELLED by 13047|18:24:32|1-00:00:00|50Gc||5|00:53.964|0:0
37042218.batch|batch|CANCELLED|18:24:33||50Gc|6988076K|5|00:53.963|0:15
37042218.extern|extern|COMPLETED|18:24:32||50Gc|2864K|5|00:00.001|0:0
37047244|ood-vnc|TIMEOUT|08:00:29|08:00:00|4Gc||1|00:01.153|0:0
37047244.batch|batch|CANCELLED|08:00:30||4Gc|96812K|1|00:01.152|0:15
37047244.extern|extern|COMPLETED|08:00:29||4Gc|2680K|1|00:00.001|0:0
37048765|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:23|1-00:00:00|50Gc||5|26:06.770|0:0
37048765.batch|batch|CANCELLED|1-00:00:24||50Gc|23220740K|5|26:06.769|0:15
37048765.extern|extern|COMPLETED|1-00:00:23||50Gc|2864K|5|00:00.001|0:0
37063564|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:10|1-00:00:00|50Gc||5|01:03.918|0:0
37063564.batch|batch|CANCELLED|1-00:00:12||50Gc|21555604K|5|01:03.916|0:15
37063564.extern|extern|COMPLETED|1-00:00:10||50Gc|2864K|5|00:00.001|0:0
37069679|test_srun|FAILED|00:17:10|01:00:00|8Gc||2|00:07.251|0:9
37069679.extern|extern|COMPLETED|00:17:10||8Gc|3456K|2|00:00.001|0:0
37069679.0|test_srun|COMPLETED|00:17:09||8Gc|6548K|2|00:07.250|0:0
37069721|test_srun|TIMEOUT|01:00:19|01:00:00|8Gc||2|14:31.844|0:0
37069721.extern|extern|COMPLETED|01:00:19||8Gc|2892K|2|00:00.002|0:0
37069721.0|test_srun|COMPLETED|01:00:49||8Gc|9349584K|2|14:31.841|0:0
37069864|test_srun|FAILED|00:52:57|01:00:00|8Gc||2|18:50.767|0:9
37069864.extern|extern|COMPLETED|00:52:57||8Gc|2864K|2|00:00.001|0:0
37069864.0|test_srun|COMPLETED|00:52:57||8Gc|9794156K|2|18:50.766|0:0
37073638|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|23:52:51|1-00:00:00|50Gc||5|00:38.916|0:0
37073638.batch|batch|CANCELLED|23:52:53||50Gc|10393560K|5|00:38.915|0:15
37073638.extern|extern|COMPLETED|23:52:51||50Gc|3460K|5|00:00.001|0:0
37088939|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|21:18:08|1-00:00:00|50Gc||5|00:41.796|0:0
37088939.batch|batch|CANCELLED|21:18:08||50Gc|10040884K|5|00:41.795|0:15
37088939.extern|extern|COMPLETED|21:18:08||50Gc|348K|5|00:00.001|0:0
37088994|test_srun|FAILED|00:15:26|01:00:00|8Gc||2|00:05.639|0:9
37088994.extern|extern|COMPLETED|00:15:26||8Gc|2864K|2|00:00:00|0:0
37088994.0|test_srun|COMPLETED|00:15:26||8Gc|9020K|2|00:05.638|0:0
37089015|test_srun|FAILED|00:11:10|01:00:00|8Gc||2|01:04.761|0:9
37089015.extern|extern|COMPLETED|00:11:10||8Gc|3456K|2|00:00:00|0:0
37089015.0|test_srun|COMPLETED|00:11:09||8Gc|87636K|2|01:04.760|0:0
37089030|test_srun|TIMEOUT|01:00:14|01:00:00|8Gc||2|00:09.634|0:0
37089030.extern|extern|COMPLETED|01:00:15||8Gc|3456K|2|00:00.001|0:0
37089030.0|test_srun|COMPLETED|01:00:47||8Gc|6708K|2|00:09.632|0:0
37089040|bwa_mapping|FAILED|00:00:01|01:00:00|1Gc||4|00:00.367|1:0
37089040.batch|batch|FAILED|00:00:01||1Gc|3768K|4|00:00.366|1:0
37089040.extern|extern|COMPLETED|00:00:02||1Gc|3456K|4|00:00.001|0:0
37089050|bwa_mapping|COMPLETED|00:26:45|01:00:00|1Gc||4|01:36:42|0:0
37089050.batch|batch|COMPLETED|00:26:45||1Gc|3938264K|4|01:36:42|0:0
37089050.extern|extern|COMPLETED|00:26:45||1Gc|2864K|4|00:00:00|0:0
37095310|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|03:14:27|1-00:00:00|50Gc||8|00:02.801|0:0
37095310.batch|batch|CANCELLED|03:14:28||50Gc|13226004K|8|00:02.800|0:15
37095310.extern|extern|COMPLETED|03:14:27||50Gc|348K|8|00:00.001|0:0
37096546|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:11|1-00:00:00|50Gc||5|01:28.009|0:0
37096546.batch|batch|CANCELLED|1-00:00:12||50Gc|32257888K|5|01:28.009|0:15
37106171|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|23:50:13|1-00:00:00|50Gc||5|01:06.973|0:0
37106171.batch|batch|CANCELLED|23:50:14||50Gc|85590676K|5|01:06.972|0:15
37106171.extern|extern|COMPLETED|23:50:13||50Gc|2864K|5|00:00:00|0:0
37112805|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:28:39|1-00:00:00|50Gc||8|00:42.002|0:0
37112805.batch|batch|CANCELLED|02:28:40||50Gc|14397228K|8|00:42.001|0:15
37112805.extern|extern|COMPLETED|02:28:39||50Gc|2864K|8|00:00:00|0:0
37113118|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:08:36|1-00:00:00|50Gc||8|14:52.359|0:0
37113118.batch|batch|CANCELLED|02:08:38||50Gc|16372048K|8|14:52.358|0:15
37113118.extern|extern|COMPLETED|02:08:36||50Gc|2680K|8|00:00.001|0:0
37113388|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|20:04:39|1-00:00:00|64Gc||12|01:12:33|0:0
37113388.batch|batch|CANCELLED|20:04:41||64Gc|102061760K|12|01:12:33|0:15
37113388.extern|extern|COMPLETED|20:04:39||64Gc|2900K|12|00:00.001|0:0
37117344|test_srun|FAILED|00:04:25|08:00:00|8Gc||2|00:11.611|0:9
37117344.extern|extern|COMPLETED|00:04:25||8Gc|3456K|2|00:00.001|0:0
37117344.0|test_srun|COMPLETED|00:04:24||8Gc|9720K|2|00:11.609|0:0
37117569|test_srun|FAILED|06:07:48|08:00:00|8Gc||2|00:00.905|0:9
37117569.extern|extern|COMPLETED|06:07:48||8Gc|2680K|2|00:00:00|0:0
37117569.0|test_srun|COMPLETED|06:07:48||8Gc|3600K|2|00:00.904|0:0
37119376|ood-r-4.4.0-foss-2022b|TIMEOUT|1-00:00:04|1-00:00:00|64Gc||12|01:22.239|0:0
37119376.batch|batch|CANCELLED|1-00:00:06||64Gc|13932K|12|01:22.237|0:15
37119376.extern|extern|COMPLETED|1-00:00:04||64Gc|2900K|12|00:00.001|0:0
37128173|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|1-00:00:00|64Gc||12|00:00:00|0:0
37128174|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|12:00:00|64Gc||12|00:00:00|0:0
37128178|ood-r-4.4.0-foss-2022b|FAILED|00:00:00|12:00:00|64Gc||12|00:00:00|1:0
37128179|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:01|12:00:00|64Gc||12|00:33.278|0:0
37128179.batch|batch|CANCELLED|12:00:02||64Gc|13840K|12|00:33.277|0:15
37128179.extern|extern|COMPLETED|12:00:01||64Gc|2900K|12|00:00.001|0:0
37129097|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:00:00|12:00:00|64Gc||12|00:00:00|0:0
37129165|ood-r-4.4.0-foss-2022b|FAILED|00:00:00|12:00:00|64Gc||12|00:00:00|1:0
37129168|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:38:34|12:00:00|50Gc||8|00:02.820|0:0
37129168.batch|batch|CANCELLED|00:38:34||50Gc|300684K|8|00:02.819|0:15
37129168.extern|extern|COMPLETED|00:38:34||50Gc|348K|8|00:00.001|0:0
37129609|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:06:11|08:00:00|50Gc||8|00:00.829|0:0
37129609.batch|batch|CANCELLED|00:06:12||50Gc|168368K|8|00:00.828|0:15
37129609.extern|extern|COMPLETED|00:06:11||50Gc|348K|8|00:00.001|0:0
37129614|test_srun|FAILED|00:14:15|03:00:00|8Gc||2|00:01.190|0:9
37129614.extern|extern|COMPLETED|00:14:15||8Gc|3456K|2|00:00.001|0:0
37129614.0|test_srun|COMPLETED|00:14:14||8Gc|36248K|2|00:01.189|0:0
37129685|ood-r-4.4.0-foss-2022b|TIMEOUT|08:00:28|08:00:00|50Gc||8|00:57.809|0:0
37129685.batch|batch|CANCELLED|08:00:30||50Gc|19926536K|8|00:57.808|0:15
37129685.extern|extern|COMPLETED|08:00:28||50Gc|2864K|8|00:00.001|0:0
37129785|test_srun|FAILED|00:41:09|03:00:00|8Gc||2|00:41.183|0:9
37129785.extern|extern|COMPLETED|00:41:09||8Gc|2892K|2|00:00.002|0:0
37129785.0|test_srun|COMPLETED|00:41:09||8Gc|56032K|2|00:41.180|0:0
37129977|test_srun|TIMEOUT|03:00:01|03:00:00|8Gc||2|05:33.701|0:0
37129977.extern|extern|COMPLETED|03:00:01||8Gc|2892K|2|00:00.002|0:0
37129977.0|test_srun|COMPLETED|03:00:30||8Gc|924036K|2|05:33.698|0:0
37139234|ood-r-4.4.0-foss-2022b|TIMEOUT|08:00:08|08:00:00|50Gc||8|00:20.813|0:0
37139234.batch|batch|CANCELLED|08:00:09||50Gc|80489380K|8|00:20.812|0:15
37139234.extern|extern|COMPLETED|08:00:08||50Gc|2864K|8|00:00.001|0:0
37143088|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:48:35|12:00:00|50Gc||8|00:03.782|0:0
37143088.batch|batch|CANCELLED|02:48:36||50Gc|76504K|8|00:03.780|0:15
37143088.extern|extern|COMPLETED|02:48:35||50Gc|348K|8|00:00.001|0:0
37146031|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:51:30|12:00:00|50Gc||8|00:05.914|0:0
37146031.batch|batch|CANCELLED|02:51:32||50Gc|4373860K|8|00:05.913|0:15
37146031.extern|extern|COMPLETED|02:51:30||50Gc|3456K|8|00:00.001|0:0
37148664|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:13|12:00:00|64Gc||8|00:26.839|0:0
37148664.batch|batch|CANCELLED|12:00:15||64Gc|14166376K|8|00:26.838|0:15
37148664.extern|extern|COMPLETED|12:00:13||64Gc|2864K|8|00:00.001|0:0
37154702|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:03:07|12:00:00|64Gc||8|01:48.904|0:0
37154702.batch|batch|CANCELLED|00:03:09||64Gc|58498776K|8|01:48.903|0:15
37154702.extern|extern|COMPLETED|00:03:07||64Gc|2864K|8|00:00.001|0:0
37154712|ood-r-4.4.0-foss-2022b|FAILED|00:12:31|12:00:00|64Gc||8|00:14.649|1:0
37154712.batch|batch|FAILED|00:12:31||64Gc|3244K|8|00:14.648|1:0
37154712.extern|extern|COMPLETED|00:12:32||64Gc|2864K|8|00:00:00|0:0
37166302|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:07:20|12:00:00|64Gc||8|00:06.867|0:0
37166302.batch|batch|CANCELLED|00:07:20||64Gc|3244K|8|00:06.866|0:15
37166302.extern|extern|COMPLETED|00:07:20||64Gc|2864K|8|00:00.001|0:0
37166326|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:04|12:00:00|64Gc||8|00:30.459|0:0
37166326.batch|batch|CANCELLED|12:00:05||64Gc|68652920K|8|00:30.458|0:15
37166326.extern|extern|COMPLETED|12:00:04||64Gc|2864K|8|00:00.001|0:0
37166357|test_srun|CANCELLED by 13047|00:04:07|03:00:00|8Gc||2|00:00.771|0:0
37166357.extern|extern|COMPLETED|00:04:07||8Gc|2864K|2|00:00:00|0:0
37166357.0|test_srun|COMPLETED|00:04:36||8Gc|3604K|2|00:00.771|0:0
37177031|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:14|12:00:00|64Gc||8|02:00.912|0:0
37177031.batch|batch|CANCELLED|12:00:15||64Gc|111549692K|8|02:00.911|0:15
37177031.extern|extern|COMPLETED|12:00:14||64Gc|2864K|8|00:00.001|0:0
37195728|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:18|12:00:00|64Gc||8|00:33.864|0:0
37195728.batch|batch|CANCELLED|12:00:19||64Gc|7015156K|8|00:33.864|0:15
37195728.extern|extern|COMPLETED|12:00:18||64Gc|2864K|8|00:00:00|0:0
37244548|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|09:27:36|12:00:00|64Gc||8|03:33.948|0:0
37244548.batch|batch|CANCELLED|09:27:38||64Gc|7589280K|8|03:33.947|0:15
37244548.extern|extern|COMPLETED|09:27:36||64Gc|2864K|8|00:00.001|0:0
37255189|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:19|12:00:00|64Gc||8|00:22.847|0:0
37255189.batch|batch|CANCELLED|12:00:21||64Gc|1254572K|8|00:22.846|0:15
37255189.extern|extern|COMPLETED|12:00:19||64Gc|2864K|8|00:00.001|0:0
37258468|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:26:44|12:00:00|64Gc||8|00:02.880|0:0
37258468.batch|batch|CANCELLED|00:26:45||64Gc|1800868K|8|00:02.879|0:15
37258468.extern|extern|COMPLETED|00:26:44||64Gc|2864K|8|00:00:00|0:0
37258646|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|00:14:42|12:00:00|64Gc||8|00:11.909|0:0
37258646.batch|batch|CANCELLED|00:14:43||64Gc|1810292K|8|00:11.908|0:15
37258646.extern|extern|COMPLETED|00:14:42||64Gc|2864K|8|00:00:00|0:0
37258679|ood-r-4.4.0-foss-2022b|CANCELLED by 13047|02:09:28|12:00:00|64Gc||8|01:23.853|0:0
37258679.batch|batch|CANCELLED|02:09:29||64Gc|1880736K|8|01:23.852|0:15
37258679.extern|extern|COMPLETED|02:09:28||64Gc|2864K|8|00:00:00|0:0
37259073|test_srun|FAILED|00:07:50|03:00:00|8Gc||2|00:02.008|0:9
37259073.extern|extern|COMPLETED|00:07:50||8Gc|3456K|2|00:00:00|0:0
37259073.0|test_srun|COMPLETED|00:07:49||8Gc|7508K|2|00:02.007|0:0
37259119|arrow_install|FAILED|00:00:03|02:00:00|32Gn||16|00:01.185|127:0
37259119.batch|batch|FAILED|00:00:03||32Gn|3284K|16|00:01.184|127:0
37259119.extern|extern|COMPLETED|00:00:03||32Gn|2900K|16|00:00.001|0:0
37259500|arrow_install|FAILED|00:00:03|02:00:00|32Gn||16|00:01.189|127:0
37259500.batch|batch|FAILED|00:00:03||32Gn|3236K|16|00:01.188|127:0
37259500.extern|extern|COMPLETED|00:00:03||32Gn|2864K|16|00:00:00|0:0
37259505|xenium_arrow|CANCELLED by 13047|00:06:32|04:00:00|64Gn||16|00:15.890|0:0
37259505.batch|batch|CANCELLED|00:06:33||64Gn|1123588K|16|00:15.889|0:15
37259505.extern|extern|COMPLETED|00:06:32||64Gn|2864K|16|00:00:00|0:0
37259508|arrow_source|FAILED|00:00:02|04:00:00|32Gn||16|00:00.947|127:0
37259508.batch|batch|FAILED|00:00:02||32Gn|3248K|16|00:00.946|127:0
37259508.extern|extern|COMPLETED|00:00:02||32Gn|2864K|16|00:00:00|0:0
37259687|arrow_source|FAILED|00:00:18|04:00:00|32Gn||16|00:13.450|1:0
37259687.batch|batch|FAILED|00:00:18||32Gn|3248K|16|00:13.449|1:0
37259687.extern|extern|COMPLETED|00:00:18||32Gn|2864K|16|00:00.001|0:0
37259692|arrow_source|FAILED|00:00:17|04:00:00|32Gn||16|00:13.447|1:0
37259692.batch|batch|FAILED|00:00:17||32Gn|3248K|16|00:13.446|1:0
37259692.extern|extern|COMPLETED|00:00:17||32Gn|2864K|16|00:00.001|0:0
37259698|arrow_source|FAILED|00:17:51|04:00:00|32Gn||16|31:29.971|1:0
37259698.batch|batch|FAILED|00:17:51||32Gn|1754272K|16|31:29.970|1:0
37259698.extern|extern|COMPLETED|00:17:51||32Gn|2864K|16|00:00.001|0:0
37259721|arrow_source|CANCELLED by 13047|00:12:23|04:00:00|32Gn||16|00:38.744|0:0
37259721.batch|batch|CANCELLED|00:12:25||32Gn|1921036K|16|00:38.743|0:15
37259721.extern|extern|COMPLETED|00:12:24||32Gn|2864K|16|00:00:00|0:0
37259733|arrow_source|CANCELLED by 13047|00:10:28|04:00:00|32Gn||16|00:08.444|0:0
37259733.batch|batch|CANCELLED|00:10:29||32Gn|1266556K|16|00:08.443|0:15
37259733.extern|extern|COMPLETED|00:10:28||32Gn|2864K|16|00:00:00|0:0
37259776|arrow_source|CANCELLED by 13047|00:07:31|04:00:00|32Gn||16|00:28.286|0:0
37259776.batch|batch|CANCELLED|00:07:33||32Gn|1411476K|16|00:28.285|0:15
37259776.extern|extern|COMPLETED|00:07:32||32Gn|2864K|16|00:00:00|0:0
37259796|arrow_source|CANCELLED by 13047|00:02:39|04:00:00|32Gn||16|00:09.887|0:0
37259796.batch|batch|CANCELLED|00:02:41||32Gn|337492K|16|00:09.886|0:15
37259796.extern|extern|COMPLETED|00:02:39||32Gn|2864K|16|00:00:00|0:0
37259802|arrow_source|COMPLETED|00:28:58|04:00:00|32Gn||16|53:43.711|0:0
37259802.batch|batch|COMPLETED|00:28:58||32Gn|1841800K|16|53:43.710|0:0
37259802.extern|extern|COMPLETED|00:28:58||32Gn|2864K|16|00:00:00|0:0
37259852|Rscript|COMPLETED|00:00:18|2-02:00:00|4Gn||1|00:03.651|0:0
37259852.extern|extern|COMPLETED|00:00:18||4Gn|2900K|1|00:00.001|0:0
37259852.0|Rscript|COMPLETED|00:00:16||4Gn|3472K|1|00:03.650|0:0
37259854|Rscript|COMPLETED|00:00:08|2-02:00:00|4Gn||1|00:05.672|0:0
37259854.extern|extern|COMPLETED|00:00:08||4Gn|2900K|1|00:00.001|0:0
37259854.0|Rscript|COMPLETED|00:00:07||4Gn|3472K|1|00:05.670|0:0
37259855|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:28|12:00:00|64Gc||8|00:31.920|0:0
37259855.batch|batch|CANCELLED|12:00:30||64Gc|41662868K|8|00:31.920|0:15
37259855.extern|extern|COMPLETED|12:00:28||64Gc|2864K|8|00:00:00|0:0
37268147|SRA|FAILED|01:50:44|03:00:00|8Gc||2|02:33.419|0:9
37268147.extern|extern|COMPLETED|01:50:44||8Gc|2900K|2|00:00.002|0:0
37268147.0|SRA|CANCELLED by 13047|01:50:44||8Gc|8584K|2|02:33.417|0:9
37268497|STAR_genome_index|COMPLETED|00:13:41|12:00:00|64Gn||16|01:42:02|0:0
37268497.batch|batch|COMPLETED|00:13:41||64Gn|32329988K|16|01:42:02|0:0
37268497.extern|extern|COMPLETED|00:13:42||64Gn|2864K|16|00:00:00|0:0
37268579|STAR_SRR1205352|FAILED|00:00:27|12:00:00|64Gn||16|00:09.879|127:0
37268579.batch|batch|FAILED|00:00:27||64Gn|3268K|16|00:09.878|127:0
37268579.extern|extern|COMPLETED|00:00:27||64Gn|2864K|16|00:00.001|0:0
37268598|STAR_SRR1205352|COMPLETED|00:00:47|12:00:00|64Gn||16|01:54.357|0:0
37268598.batch|batch|COMPLETED|00:00:47||64Gn|23280332K|16|01:54.356|0:0
37268598.extern|extern|COMPLETED|00:00:47||64Gn|2864K|16|00:00.001|0:0
37273526|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:01|12:00:00|64Gc||8|39:44.848|0:0
37273526.batch|batch|CANCELLED|12:00:04||64Gc|228954816K|8|39:44.847|0:15
37273526.extern|extern|COMPLETED|12:00:01||64Gc|2864K|8|00:00:00|0:0
37285915|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:03|12:00:00|64Gc||8|00:42.839|0:0
37285915.batch|batch|CANCELLED|12:00:05||64Gc|47238808K|8|00:42.838|0:15
37285915.extern|extern|COMPLETED|12:00:03||64Gc|2864K|8|00:00.001|0:0
37290074|xenium_pipeline|FAILED|00:00:01|06:00:00|200Gn||16|00:00.271|127:0
37290074.batch|batch|FAILED|00:00:01||200Gn|3240K|16|00:00.269|127:0
37290074.extern|extern|COMPLETED|00:00:01||200Gn|2856K|16|00:00.002|0:0
37290094|xenium_pipeline|COMPLETED|00:33:18|06:00:00|200Gn||16|35:06.685|0:0
37290094.batch|batch|COMPLETED|00:33:18||200Gn|38572396K|16|35:06.683|0:0
37290094.extern|extern|COMPLETED|00:33:18||200Gn|2856K|16|00:00.001|0:0
37291787|xenium_pipeline|COMPLETED|00:22:43|06:00:00|200Gn||16|24:18.061|0:0
37291787.batch|batch|COMPLETED|00:22:43||200Gn|31793136K|16|24:18.059|0:0
37291787.extern|extern|COMPLETED|00:22:43||200Gn|2856K|16|00:00.001|0:0
37296539|xenium_pipeline|COMPLETED|00:01:00|06:00:00|200Gn||16|00:38.705|0:0
37296539.batch|batch|COMPLETED|00:01:00||200Gn|654372K|16|00:38.704|0:0
37296539.extern|extern|COMPLETED|00:01:00||200Gn|2864K|16|00:00.001|0:0
37298420|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:24|12:00:00|64Gc||8|00:35.022|0:0
37298420.batch|batch|CANCELLED|12:00:26||64Gc|30896576K|8|00:35.021|0:15
37298420.extern|extern|COMPLETED|12:00:24||64Gc|2900K|8|00:00.001|0:0
37301890|fastqc_robo3|COMPLETED|00:00:02|04:00:00|16Gn||8|00:00.642|0:0
37301890.batch|batch|COMPLETED|00:00:02||16Gn|3172K|8|00:00.641|0:0
37301890.extern|extern|COMPLETED|00:00:02||16Gn|2864K|8|00:00.001|0:0
37301894|fastqc_robo3|COMPLETED|00:23:59|04:00:00|16Gn||8|46:56.254|0:0
37301894.batch|batch|COMPLETED|00:23:59||16Gn|1737056K|8|46:56.253|0:0
37301894.extern|extern|COMPLETED|00:23:59||16Gn|2864K|8|00:00.001|0:0
37301903|STAR_index_GRCh38|CANCELLED by 13047|00:01:08|08:00:00|40Gn||16|00:10.802|0:0
37301903.batch|batch|CANCELLED|00:01:08||40Gn|4348K|16|00:10.801|0:15
37301903.extern|extern|COMPLETED|00:01:08||40Gn|2680K|16|00:00.001|0:0
37301904|STAR_index_GRCh38|COMPLETED|00:29:36|08:00:00|40Gn||16|04:51:34|0:0
37301904.batch|batch|COMPLETED|00:29:36||40Gn|31388888K|16|04:51:34|0:0
37301904.extern|extern|COMPLETED|00:29:36||40Gn|2680K|16|00:00.001|0:0
37301907|fastp_robo3|COMPLETED|00:00:04|08:00:00|32Gn||8|00:02.959|0:0
37301907.batch|batch|COMPLETED|00:00:04||32Gn|3032K|8|00:02.958|0:0
37301907.extern|extern|COMPLETED|00:00:04||32Gn|2680K|8|00:00.001|0:0
37301910|fastp_robo3|COMPLETED|00:00:03|08:00:00|32Gn||8|00:03.085|0:0
37301910.batch|batch|COMPLETED|00:00:03||32Gn|3032K|8|00:03.084|0:0
37301910.extern|extern|COMPLETED|00:00:03||32Gn|2680K|8|00:00.001|0:0
37301912|fastp_robo3|COMPLETED|00:00:17|08:00:00|32Gn||8|00:02.946|0:0
37301912.batch|batch|COMPLETED|00:00:17||32Gn|3032K|8|00:02.945|0:0
37301912.extern|extern|COMPLETED|00:00:17||32Gn|2680K|8|00:00.001|0:0
37301916|fastp_robo3|COMPLETED|00:00:05|08:00:00|32Gn||8|00:02.801|0:0
37301916.batch|batch|COMPLETED|00:00:05||32Gn|3032K|8|00:02.800|0:0
37301916.extern|extern|COMPLETED|00:00:05||32Gn|2680K|8|00:00.001|0:0
37301918|fastp_robo3|COMPLETED|00:00:04|08:00:00|32Gn||8|00:02.852|0:0
37301918.batch|batch|COMPLETED|00:00:04||32Gn|3032K|8|00:02.851|0:0
37301918.extern|extern|COMPLETED|00:00:05||32Gn|2680K|8|00:00.001|0:0
37301919|fastp_robo3|CANCELLED by 13047|00:03:21|08:00:00|32Gn||8|16:36.518|0:0
37301919.batch|batch|CANCELLED|00:03:22||32Gn|4587080K|8|16:36.517|0:15
37301919.extern|extern|COMPLETED|00:03:21||32Gn|2680K|8|00:00.001|0:0
37301922|fastp_robo3|COMPLETED|00:19:06|08:00:00|32Gn||8|01:57:47|0:0
37301922.batch|batch|COMPLETED|00:19:06||32Gn|1435576K|8|01:57:47|0:0
37301922.extern|extern|COMPLETED|00:19:07||32Gn|2864K|8|00:00:00|0:0
37301924|STAR_index_GRCh38|OUT_OF_MEMORY|00:34:24|08:00:00|40Gn||16|05:07:39|0:125
37301924.batch|batch|OUT_OF_MEMORY|00:34:24||40Gn|41653152K|16|05:07:39|0:125
37301924.extern|extern|COMPLETED|00:34:24||40Gn|2680K|16|00:00.001|0:0
37302716|STAR_index_GRCh38|COMPLETED|00:39:48|08:00:00|70Gn||16|05:05:23|0:0
37302716.batch|batch|COMPLETED|00:39:48||70Gn|50866288K|16|05:05:23|0:0
37302716.extern|extern|COMPLETED|00:39:49||70Gn|2900K|16|00:00.002|0:0
37302721|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:02|12:00:00|64Gc||8|30:15.084|0:0
37302721.batch|batch|CANCELLED|12:00:03||64Gc|16669700K|8|30:15.083|0:15
37302721.extern|extern|COMPLETED|12:00:02||64Gc|2900K|8|00:00.001|0:0
37302749|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:01|12:00:00|64Gc||8|00:42.014|0:0
37302749.batch|batch|CANCELLED|12:00:02||64Gc|14659868K|8|00:42.013|0:15
37302749.extern|extern|COMPLETED|12:00:01||64Gc|2680K|8|00:00:00|0:0
37306044|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:03|12:00:00|64Gc||8|00:31.849|0:0
37306044.batch|batch|CANCELLED|12:00:04||64Gc|14990780K|8|00:31.848|0:15
37306044.extern|extern|COMPLETED|12:00:03||64Gc|2864K|8|00:00:00|0:0
37308620|STAR_robo3|COMPLETED|00:00:02|12:00:00|48Gn||8|00:01.236|0:0
37308620.batch|batch|COMPLETED|00:00:02||48Gn|3172K|8|00:01.235|0:0
37308620.extern|extern|COMPLETED|00:00:02||48Gn|2864K|8|00:00.001|0:0
37308628|STAR_robo3|COMPLETED|00:00:06|12:00:00|48Gn||8|00:01.800|0:0
37308628.batch|batch|COMPLETED|00:00:06||48Gn|3172K|8|00:01.799|0:0
37308628.extern|extern|COMPLETED|00:00:06||48Gn|2864K|8|00:00:00|0:0
37308654|STAR_robo3|COMPLETED|02:32:24|12:00:00|48Gn||8|16:37:48|0:0
37308654.batch|batch|COMPLETED|02:32:24||48Gn|41355740K|8|16:37:48|0:0
37308654.extern|extern|COMPLETED|02:32:24||48Gn|2900K|8|00:00.001|0:0
37308723|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:11|12:00:00|64Gc||8|00:40.115|0:0
37308723.batch|batch|CANCELLED|12:00:12||64Gc|23771748K|8|00:40.113|0:15
37308723.extern|extern|COMPLETED|12:00:11||64Gc|2680K|8|00:00.001|0:0
37312970|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:15|12:00:00|64Gc||8|02:40.315|0:0
37312970.batch|batch|CANCELLED|12:00:16||64Gc|129374180K|8|02:40.314|0:15
37312970.extern|extern|COMPLETED|12:00:15||64Gc|2900K|8|00:00.001|0:0
37312985|FC_robo3|COMPLETED|00:00:03|04:00:00|32Gn||8|00:01.215|0:0
37312985.batch|batch|COMPLETED|00:00:03||32Gn|3028K|8|00:01.214|0:0
37312985.extern|extern|COMPLETED|00:00:04||32Gn|2680K|8|00:00.001|0:0
37312987|FC_robo3|COMPLETED|00:02:57|04:00:00|32Gn||8|14:10.525|0:0
37312987.batch|batch|COMPLETED|00:02:57||32Gn|1393572K|8|14:10.523|0:0
37312987.extern|extern|COMPLETED|00:02:58||32Gn|2680K|8|00:00.001|0:0
37313902|ood-r-4.4.0-foss-2022b|TIMEOUT|12:00:05|12:00:00|64Gc||8|00:22.874|0:0
