JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
39693084|ood-r-4.4.1-foss-2023b|CANCELLED by 13047|00:17:56|12:00:00|64Gc||8|00:01.106|0:0
39693084.batch|batch|CANCELLED|00:17:57||64Gc|13660K|8|00:01.105|0:15
39693084.extern|extern|COMPLETED|00:17:56||64Gc|2864K|8|00:00.001|0:0
39696227|Xen_res1.5_ABT|FAILED|00:00:30|12:00:00|64Gn||8|00:29.183|1:0
39696227.batch|batch|FAILED|00:00:30||64Gn|3131228K|8|00:29.182|1:0
39696227.extern|extern|COMPLETED|00:00:30||64Gn|2864K|8|00:00:00|0:0
39696228|Xen_res1.5_ABT|FAILED|00:01:05|12:00:00|64Gn||8|00:29.736|1:0
39696228.batch|batch|FAILED|00:01:05||64Gn|1935.50M|8|00:29.735|1:0
39696228.extern|extern|COMPLETED|00:01:05||64Gn|2864K|8|00:00.001|0:0
39696229|Xen_res1.5_ABT|FAILED|00:00:46|12:00:00|64Gn||8|00:29.866|1:0
39696229.batch|batch|FAILED|00:00:46||64Gn|864436K|8|00:29.866|1:0
39696229.extern|extern|COMPLETED|00:00:46||64Gn|2864K|8|00:00:00|0:0
39696230|Xen_res1.5_ABT|FAILED|00:00:46|12:00:00|64Gn||8|00:30.005|1:0
39696230.batch|batch|FAILED|00:00:46||64Gn|866848K|8|00:30.005|1:0
39696230.extern|extern|COMPLETED|00:00:46||64Gn|2864K|8|00:00:00|0:0
39696231|Xen_res1.5_ABT|FAILED|00:00:57|12:00:00|64Gn||8|00:42.096|1:0
39696231.batch|batch|FAILED|00:00:57||64Gn|1048760K|8|00:42.095|1:0
39696231.extern|extern|COMPLETED|00:00:57||64Gn|2864K|8|00:00:00|0:0
39696239|Xen_res1.5_ABT|FAILED|00:00:28|12:00:00|64Gn||8|00:26.599|1:0
39696239.batch|batch|FAILED|00:00:28||64Gn|3532K|8|00:26.598|1:0
39696239.extern|extern|COMPLETED|00:00:28||64Gn|2864K|8|00:00:00|0:0
39696240|Xen_res1.5_ABT|FAILED|00:00:29|12:00:00|64Gn||8|00:27.424|1:0
39696240.batch|batch|FAILED|00:00:29||64Gn|3532K|8|00:27.424|1:0
